scenario_id,variant,module,template,evidence_coverage,unsupported_recommendation_rate,verification_passed,conflict_present,data_quality_warning_count,mean_agent_confidence,decision_quality_score
inventory_shortage,rule_only,inventory,inventory_diagnosis,0.0,1.0,0.0,0.0,1,0.4,0.28
inventory_shortage,proposed,inventory,inventory_diagnosis,1.0,0.0,1.0,0.0,0,0.5,0.9
production_overbuffer,rule_only,forecast,production_advice,0.0,1.0,0.0,0.0,1,0.4,0.28
production_overbuffer,proposed,forecast,production_advice,1.0,0.0,1.0,0.0,0,0.8,0.96
profit_low_margin,rule_only,revenue,profit_root_cause,0.0,1.0,0.0,0.0,1,0.4,0.28
profit_low_margin,proposed,revenue,profit_root_cause,1.0,0.0,1.0,0.0,0,0.85,0.97
